entity	type	label_pt	comment_pt	label_en	comment_en	wikidata
Association_of_Machadinho_Rubber_Tappers	Extractive_reserve_(Brazil)	 Associação dos Seringueiros de Machadinho		Association of Machadinho Rubber Tappers	The Association of Machadinho Rubber Tappers (Portuguese: Associação dos Seringueiros de Machadinho) operates fifteen small extractive reserves in the state of Rondônia, Brazil.They were formerly part of private rubber extraction concessions, and continue to be used by the descendants of the original rubber tappers to extract rubber and other forest products.Recently the reserves have been threatened by violence and illegal logging.	
Bacanga_State_Park	State_park_(Brazil)	Parque Estadual do Bacanga	O Parque Estadual do Bacanga foi criado pelo Decreto 7.545 de 2 de Março de 1980, município de São Luís, estado do Maranhão, região nordeste do Brasil, com uma área de 3.075 hectares, Um dos seus objetivos é preservar o pedaço Floresta Amazônica protetora de mananciais cujas nascentes naturais alimentam a represa do Batatã. Algumas espécies vegetais encontradas são o angelim e o babaçu.	Bacanga State Park	The Bacanga State Park (Portuguese: Parque Estadual do Bacanga) is a state park in the state of Maranhão, Brazil.It protects the main water supply for the city of São Luís, the Batatã reservoir.The park's environment has been badly degraded through illegal occupation, logging, removal of sand and garbage dumping. The water supply is threatened.	Q10345064
Baixada_Maranhense_Environmental_Protection_Area	Environmental_protection_area_(Brazil)	 Área de Proteção Ambiental da Baixada Maranhense		Baixada Maranhense Environmental Protection Area	The Baixada Maranhense Environmental Protection Area (Portuguese: Área de Proteção Ambiental da Baixada Maranhense) is an environmental protection area in the state of Maranhão, Brazil. It includes large areas of wetlands, and was designated a Ramsar site in 2000.The traditional population lives in the area, but human activities are regulated in an effort to preserve the environment.	Q24884062
Balata-Tufari_National_Forest	National_forest_(Brazil)	 Floresta Nacional de Balata-Tufari		Balata-Tufari National Forest	The Balata-Tufari National Forest (Portuguese: Floresta Nacional de Balata-Tufari) is a national forest in the state of Amazonas, Brazil.It was created to support sustainable extraction of forest products such as timber subject to restrictions and regulations defined by law or the responsible agency, ICMBio.	Q24960037
Bararati_Sustainable_Development_Reserve	Sustainable_development_reserve_(Brazil)	 Reserva de Desenvolvimento Sustentável Bararati		Bararati Sustainable Development Reserve	The Bararati Sustainable Development Reserve' (Portuguese: Reserva de Desenvolvimento Sustentável Bararati) is a sustainable development reserve in the state of Amazonas, Brazil.	
Biological_Dynamics_of_Forest_Fragments_Project_Area_of_Relevant_Ecological_Interest	Area_of_relevant_ecological_interest_(Brazil)	Área de Relevante Interesse Ecológico Projeto Dinâmica Biológica de Fragmentos Florestais	A Área de Relevante Interesse Ecológico Projeto Dinâmica Biológica de Fragmentos Florestais foi criada pelo Decreto Federal nº 91.884 de 05 de novembro de 1985. Está está localizada na região Norte do Brasil, Estado do Amazonas, nos municípios de Manaus e Rio Preto da Eva. É uma Unidade de Conservação Federal e pertence ao grupo de Uso Sustentável. Sua gestão é feita pelo Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio) em parceria com o Instituto Nacional de Pesquisas da Amazônia - INPA. O bioma predominante é o da Floresta Amazônica.	Biological Dynamics of Forest Fragments Project Area of Relevant Ecological Interest	The Biological Dynamics of Forest Fragments Project Area of Relevant Ecological Interest (Portuguese: Área de Relevante Interesse Ecológico Projeto Dinâmica Biológica de Fragmentos Florestais: ARIE-PDBFF) is an area of relevant ecological interest in the state of Amazonas, Brazil.It is the location of the Biological Dynamics of Forest Fragments Project, which explores the effects of habitat fragmentation and the processes of regeneration of forest fragments isolated by human acitivity.	Q10395975
Cabo_Orange_National_Park	National_park_(Brazil)	Parque Nacional do Cabo Orange	O Parque Nacional do Cabo Orange (PNCO) é uma unidade de conservação brasileira de proteção integral da natureza localizada na região norte do estado do Amapá, com território distribuído pelos municípios de Oiapoque e Calçoene. O parque foi criado com a finalidade de	Cabo Orange National Park	The Cabo Orange National Park (Portuguese: Parque Nacional do Cabo Orange) is a National park located in Amapá state in the north of Brazil, near the border between Brazil and French Guiana.	Q1764854
Caeté-Taperaçu_Marine_Extractive_Reserve	Extractive_reserve_(Brazil)	Reserva Extrativista Marinha de Caeté-Taperaçu	A Reserva Extrativista Marinha de Caeté-Taperaçu é uma unidade de conservação brasileira de uso sustentável da natureza localizada no município de Bragança, estado do Pará.	Caeté-Taperaçu Marine Extractive Reserve	The Caeté-Taperaçu Marine Extractive Reserve (Portuguese: Reserva Extrativista Marinha de Caeté-Taperaçu) is a coastal marine extractive reserve in the state of Pará, Brazil.	Q10359677
Campos_Amazônicos_National_Park	National_park_(Brazil)	Parque Nacional dos Campos Amazônicos	O Parque Nacional dos Campos Amazônicos é um parque nacional brasileiro localizado no Amazonas e Rondônia. Protege encraves de Cerrado na floresta Amazônica. Mesmo não sendo totalmente implementado, já apresenta intensa visitação.	Campos Amazônicos National Park	The Campos Amazônicos National Park (Portuguese: Parque Nacional dos Campos Amazônicos) is a National park in the states of Rondônia, Amazonas and Mato Grosso, Brazil.	Q22074162
Campos_de_Manicoré_Environmental_Protection_Area	Environmental_protection_area_(Brazil)	 Área de Proteção Ambiental dos Campos de Manicoré		Campos de Manicoré Environmental Protection Area	The Campos de Manicoré Environmental Protection Area (Portuguese: Área de Proteção Ambiental dos Campos de Manicoré) is an environmental protection area (APA) in the state of Amazonas, Brazil.	Q24884449
Canutama_Extractive_Reserve	Extractive_reserve_(Brazil)	Reserva Extrativista Canutama		Canutama Extractive Reserve	The Canutama Extractive Reserve (Portuguese: Reserva Extrativista Canutama is an extractive reserve in the state of Amazonas, Brazil.	Q26761843
Canutama_State_Forest	State_forest_(Brazil)	 Floresta Estadual Canutama		Canutama State Forest	The Canutama State Forest (Portuguese: Floresta Estadual Canutama) is a state forest in the state of Amazonas, Brazil.	Q26761874
Caracaraí_Ecological_Station	Ecological_station_(Brazil)	 Estação Ecológica de Caracaraí		Caracaraí Ecological Station	Caracaraí Ecological Station (Portuguese: Estação Ecológica de Caracaraí) is an ecological station in the state of Roraima, Brazil.	Q5037559
Carajás_National_Forest	National_forest_(Brazil)	Floresta Nacional de Carajás	A Floresta Nacional de Carajás é uma área de conservação ambiental federal do Brasil localizada no sul estado do Pará. É administrada pelo  Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio). Tem pouco menos de 412 mil hectares, tendo sido criada pelo decreto 2.486 de 2 de fevereiro de 1998. Dentro da área protegida é permitida a exploração mineral, com a mineradora Vale tendo a concessão de uso do solo.	Carajás National Forest	The Carajás National Forest (Portuguese: Floresta Nacional de Carajás) is a national forest in the state of Pará. Brazil. It covers the Serra dos Carajás (Carajás Mountains), an area with large deposits of iron ore, and attempts to combine the roles of supporting mineral extraction with preserving the environment and maintaining biodiversity.	Q24263073
Castanheiras_Pied_Tamarin_Wildlife_Refuge	Ecological Reserve	 Refúgio da Vida Silvestre Sauim Castanheiras		Castanheiras Pied Tamarin Wildlife Refuge	The Castanheiras Pied Tamarin Wildlife Refuge (Portuguese: Refúgio da Vida Silvestre Sauim Castanheiras) is a wildlife refuge in the municipality of Manaus, Amazonas, Brazil.It was created in 1982 to protect a colony of pied tamarins.	Q7427234
Catuá-Ipixuna_Extractive_Reserve	Extractive_reserve_(Brazil)	 Reserva Extrativista Catuá-Ipixuna		Catuá-Ipixuna Extractive Reserve	The Catuá-Ipixuna Extractive Reserve (Portuguese: Reserva Extrativista Catuá-Ipixuna) is an extractive reserve in the state of Amazonas, Brazil. It takes its name from two lakes that drain into the Solimões River, or Upper Amazon, and is covered in Amazon rainforest.	
Caxiuanã_National_Forest	National_forest_(Brazil)	Floresta Nacional de Caxiuanã	A Floresta Nacional de Caxiuanã é uma unidade de conservação federal do Brasil criada em 28 de novembro de 1961 por meio do Decreto nº 239. É a Floresta Nacional (FLONA) mais antiga da Amazônia Legal e a 2ª mais antiga do Brasil. É administrada pelo  Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio).	Caxiuanã National Forest	Caxiuanã National Forest (Portuguese: Floresta Nacional de Caxiuanã, also FLONA de Caxiuanã) is a national forest located in lower Amazon region the state of Pará in the North Region of Brazil. It is located on the west banks of the Baía de Caxiuanã between the Xingu River and downstream from the Anapu River. The forest is located southeast of the Ilha do Marajó. Caxiuanã National Forest covers two municipalities in Pará, Portel (population: 47,967) and Melgaço (population: 25,153), but the forest itself is sparsely inhabited. It is located 400 kilometres (250 mi) from the state capitol of Belém.	Q10282867
Cazumbá-Iracema_Extractive_Reserve	Extractive_reserve_(Brazil)	Reserva Extrativista Cazumbá-Iracema	A Reserva Extrativista do Cazumbá-Iracema é uma unidade de conservação federal do Brasil categorizada como reserva extrativista e criada por Decreto Presidencial em 19 de setembro de 2002 numa área de 750.794 hectares no estado do Acre. Se localiza em Sena Madureira no Acre, e se chega por terra pelo Ramal do Cazumbá e pelo Ramal do Nacélio ou por água pelos rios Caéte e Macauã.	Cazumbá-Iracema Extractive Reserve	The Cazumbá-Iracema Extractive Reserve (Portuguese: Reserva Extrativista Cazumbá-Iracema) is an extractive reserve in the state of Acre, Brazil.The inhabitants extract rubber, Brazil nuts and other products from the forest for their own consumption or for sale, hunt, fish and engage in small-scale farming and animal husbandry.The reserve was created in 2002 as a sustainable use conservation area after a long campaign by the rubber tappers to prevent the government from evicting them and clearing the Amazon rainforest for cattle ranching. The reserve is rich in biodiversity, and helps form a buffer zone for the adjoining Chandless State Park.However, rubber prices are low and the inhabitants can earn more if they clear the forest and raise cattle.	Q10359665
Central_Amazon_Ecological_Corridor	Ecological_corridor_(Brazil)	 Corredor Ecológico Central da Amazônia		Central Amazon Ecological Corridor	The Central Amazon Ecological Corridor (Portuguese: Corredor Ecológico Central da Amazônia) is an ecological corridor in the state of Amazonas, Brazil, that connects a number of conservation units in the Amazon rainforest. The objective is to maintain genetic connectivity between the protected areas without penalizing the local people, where possible using participatory planning that involves all affected actors.	
Chandless_State_Park	State_park_(Brazil)	Parque Estadual Chandless	O Parque Estadual Chandless é o segundo maior parque da região norte do Brasil, e a segunda maior Unidade de Conservação do Estado do Acre, possuindo 695.303 hectares, ou cerca de 4 % da área do estado. Foi criado pelo Decreto 10.670, de 2 de setembro de 2004.	Chandless State Park	The Chandless State Park (Portuguese: Parque Estadual Chandless) is a state park in the state of Acre, Brazil.It protects an important but relatively unexplored region of rainforest with bamboos holding great biodiversity. It is valuable as an ecological corridor between adjoining conservation units and indigenous territories.Some parts of the park are used by uncontacted nomadic indigenous people.	Q10344987
Chapada_Limpa_Extractive_Reserve	Extractive_reserve_(Brazil)	Reserva Extrativista Chapada Limpa	A Reserva Extrativista Chapada Limpa é uma unidade de conservação federal do Brasil categorizada como reserva extrativista e criada por Decreto Presidencial em 26 de setembro de 2007 numa área de 11.971 hectares no município de Chapadinha, estado do Maranhão.	Chapada Limpa Extractive Reserve	The Chapada Limpa Extractive Reserve (Portuguese: Reserva Extrativista Chapada Limpa) is an extractive reserve in the state of Maranhão, Brazil.	Q10359664
Chapada_das_Mesas_National_Park	National_park_(Brazil)	Parque Nacional da Chapada das Mesas	O parque nacional da Chapada das Mesas é uma área de proteção ambiental que abrange 160 046 hectares de Cerrado nos municípios de Carolina, Riachão , Estreito e Imperatriz, no centro-sul do Maranhão. De acordo com o diretor de ecossistemas do Ibama - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis, Valmir Ortega, a criação do parque faz parte do esforço dos órgãos ambientais do Governo Federal para elevar a área protegida no Cerrado. Pouco mais de 2,5% do bioma está resguardado em unidades de conservação federais e estaduais. Conforme Ortega, a pressão para novos desmatamentos impulsionados por carvoarias e abertura de novas frentes para a agropecuária é muito forte. É uma corrida contra o tempo para salvar grandes remanescentes, ressaltou.	Chapada das Mesas National Park	Chapada das Mesas National Park (Portuguese: Parque Nacional da Chapada das Mesas) is a national park in the state of Maranhão, Brazil.It was created to preserve the untouched cerrado vegetation of the region, and as a barrier against the advance of farming.	Q5072887
Chapada_dos_Guimarães_National_Park	National_park_(Brazil)	Parque Nacional da Chapada dos Guimarães	O Parque Nacional da Chapada dos Guimarães é uma unidade de conservação brasileira, situada no estado de Mato Grosso, nos municípios de Chapada dos Guimarães e Cuiabá, que recebeu a guarida federal através do Decreto 97.656, de 12 de abril de 1989. Possui uma área total de 33 mil hectares. É administrado pelo Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio).	Chapada dos Guimarães National Park	The Chapada dos Guimarães National Park (Portuguese: Parque Nacional da Chapada dos Guimarães) is a national park in the state of Mato Grosso, Brazil.It is a region of rugged terrain with dramatic cliffs and waterfalls, and contains the geographical centre of the continent.	Q5072892
Charapucu_State_Park	State_park_(Brazil)	Parque Estadual Charapucu	O Parque Estadual Charapucu é uma unidade de conservação de Proteção Integral situada no município de Afuá no Arquipélago do Marajó, Estado do Pará. Ele possui área de aproximadamente 65 mil hectares, em ambientes naturais de várzea e igapó em excelente estado de conservação. Espécies da fauna como onçapintada, peixe boi e urubu rei podem ser encontrados na área. A unidade de conservação é gerenciada pela Secretaria de Estado de Meio Ambiente do Pará -SEMA/PA. O acesso ã área pode ser via Afuá ou Macapá/AP, levando cerca de duas a seis horas de voadeira para visitar diferentes áreas do Parque Estadual.	Charapucu State Park	The Charapucu State Park (Portuguese: Parque Estadual Charapucu) is a state park in the state of Pará, Brazil.It protects an area of the island of Marajó at the mouth of the Amazon River, much of which is flooded by the river or the tides.The vegetation is typical of flooded rainforest, and fauna include several rare or endangered species.	Q10344988
Chico_Mendes_Extractive_Reserve	Extractive_reserve_(Brazil)	Reserva Extrativista Chico Mendes	A Reserva Extrativista Chico Mendes é uma unidade de conservação federal do Brasil categorizada como reserva extrativista e criada por Decreto Presidencial em 12 de março de 1990 numa área de 970.570 hectares no estado do Acre. É administrada pelo  Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio).	Chico Mendes Extractive Reserve	Chico Mendes Extractive Reserve (Portuguese: Reserva Extrativista Chico Mendes) is an extractive reserve in the state of Acre, Brazil.	Q10359666
Chocoaré_-_Mato_Grosso_Extractive_Reserve	Extractive_reserve_(Brazil)	Reserva Extrativista Chocoaré-Mato Grosso	A Reserva Extrativista Chocoaré-Mato Grosso é uma unidade de conservação federal do Brasil categorizada como reserva extrativista e criada por Decreto Presidencial em 13 de dezembro de 2002 numa área de 2.785 hectares no estado do Pará.	Chocoaré - Mato Grosso Extractive Reserve	The Chocoaré - Mato Grosso Extractive Reserve (Portuguese: Reserva Extrativista Chocoaré - Mato Grosso is an extractive reserve in the state of Pará, Brazil.	Q10359667
Cuinarana_Marine_Extractive_Reserve	Extractive_reserve_(Brazil)	 Reserva Extrativista Marinha Cuinarana		Cuinarana Marine Extractive Reserve	The Cuinarana Marine Extractive Reserve (Portuguese: Reserva Extrativista Marinha Cuinarana) is a coastal marine extractive reserve in the state of Pará, Brazil.	
Cujubim_Sustainable_Development_Reserve	Sustainable_development_reserve_(Brazil)	 Reserva de Desenvolvimento Sustentável Cujubim		Cujubim Sustainable Development Reserve	The Cujubim Sustainable Development Reserve (Portuguese: Reserva de Desenvolvimento Sustentável Cujubim) is a sustainable development reserve in the state of Amazonas, Brazil.	
Cuniã_Ecological_Station	Ecological_station_(Brazil)	Estação Ecológica de Cuniã	A Estação Ecológica de Cuniã está localizada na divisa dos estados do Amazonas e Rondônia na região norte do Brasil. O bioma predominante é o da Floresta Amazônica.	Cuniã Ecological Station	Cuniã Ecological Station (Portuguese: Estação Ecológica de Cuniã is a strictly protected ecological station in the states of Amazonas and Rondônia, Brazil. It preserves an area of savannah parkland on the border of the Amazon rainforest. The conservation unit is rich in lakes and ponds, and serves as a nursery for various species of fish.	Q10275707
Delta_do_Parnaíba_Marine_Extractive_Reserve	Extractive_reserve_(Brazil)	 Reserva Extrativista Marinha do Delta do Parnaíba		Delta do Parnaíba Marine Extractive Reserve	The Delta do Parnaíba Marine Extractive Reserve (Portuguese: Reserva Extrativista Marinha do Delta do Parnaíba) is a coastal marine extractive reserve in the states of Maranhão and Piauí, Brazil.	
Encontro_das_Águas_State_Park	State_park_(Brazil)	Parque Estadual Encontro das Águas	O Parque Estadual Encontro das Águas foi criado em 22 de dezembro de 2004 pelo decreto 4.881, com superfície de 108,960 ha, entre os municípios de Poconé  e Barão de Melgaço, ao sul de Cuiabá, no Estado de Mato Grosso, região centro-oeste do Brasil. É localizado nas bacias dos rios Cuiabá, Piquiri, Cassange, Pirigara, Três Irmãos e Alegre. Com o acesso existente pela rodovia MT-060 que liga Poconé a Porto do Joffre, e proximidade à capital do estado, a unidade de conservação apresenta grande potencial turístico que começou a ser explorado logo após a sua criação, sem a necessária organização.	Encontro das Águas State Park	The Encontro das Águas State Park (Portuguese: Parque Estadual Encontro das Águas) is a state park in the state of Mato Grosso, Brazil.It covers an area of the pantanal rich in watercourses.	Q10344991
Extremo_Norte_do_Tocantins_Extractive_Reserve	Extractive_reserve_(Brazil)	Reserva Extrativista do Extremo Norte do Tocantins	A Reserva Extrativista do Extremo Norte do Tocantins é uma unidade de conservação federal do Brasil categorizada como reserva extrativista e criada por Decreto Presidencial em 20 de maio de 1992 numa área de 9.280 hectares no estado do Tocantins.	Extremo Norte do Tocantins Extractive Reserve	The Extremo Norte do Tocantins Extractive Reserve (Portuguese: Reserva Extrativista do Extremo Norte do Tocantins) is an extractive reserve in the state of Tocantins, Brazil.	Q10359706
Gruta_da_Lagoa_Azul_State_Park	State_park_(Brazil)	Parque Estadual Gruta da Lagoa Azul	O Parque Estadual Gruta da Lagoa Azul foi criado pelo Decreto 1.472, de 9 de junho de 2000, e homologado com a Lei 7.369, de 20 de dezembro de 2000, com uma área de 12 512 ha, abrangendo o município de Nobres, no Estado de Mato Grosso, região centro-oeste do Brasil. Não possui estudo, infra-estrutura gerencial, necessitando de demarcação.	Gruta da Lagoa Azul State Park	The Gruta da Lagoa Azul State Park (Portuguese: Parque Estadual Gruta da Lagoa Azul) is a state park in the state of Mato Grosso, Brazil. Its primary attraction is a limestone cave with a pool of blue water and unusual cave formations. These have suffered from vandalism, causing the cave to be closed until measures to protect it could be implemented.	Q10344995
Grão-Pará_Ecological_Station	Ecological_station_(Brazil)	 Estação Ecológica Grão-Pará is a strictly protected ecological station in the state of Pará, Brazil.It managed by the state of Pará. With 42,458 square kilometres (16,393 sq mi		Grão-Pará Ecological Station	The Grão-Pará Ecological Station (Portuguese: Estação Ecológica Grão-Pará is a strictly protected ecological station in the state of Pará, Brazil.It managed by the state of Pará. With 42,458 square kilometres (16,393 sq mi) of well-preserved Amazon rainforest it is the largest fully protected tropical forest conservation unit in the world.	Q24959756
